ticker,industry,sector
NTES,Electronic Gaming & Multimedia,Communication Services
NTGR,Communication Equipment,Information Technology
NTTYY,Telecom Services,Communication Services
NTWK,Software—Application,Information Technology
NUE,Steel,Materials
NUS,Household & Personal Products,Consumer Staples
NUVA,Medical Devices,Health Care
NVDA,Semiconductors,Information Technology
NVEC,Semiconductors,Information Technology
NVMI,Semiconductor Equipment & Materials,Information Technology
NVO,Biotechnology,Health Care
NVR,Residential Construction,Consumer Discretionary
NVS,Drug Manufacturers—General,Health Care
NVSEF,Drug Manufacturers—General,Health Care
NVZMF,Specialty Chemicals,Materials
NVZMY,Specialty Chemicals,Materials
NWC.TO,Grocery Stores,Consumer Staples
NWE,Utilities—Diversified,Utilities
NWL,Household & Personal Products,Consumer Staples
NWN,Utilities—Regulated Gas,Utilities
NX,Building Products & Equipment,Industrials
NXGN,Health Information Services,Health Care
NXST,Entertainment,Communication Services
NYT,Publishing,Communication Services
O,REIT—Retail,Real Estate
OC,Building Products & Equipment,Industrials
ODC,Specialty Chemicals,Materials
ODFL,Trucking,Industrials
ODP,Specialty Retail,Consumer Discretionary
OFC,REIT—Office,Real Estate
OFIX,Medical Devices,Health Care
OFLX,Specialty Industrial Machinery,Industrials
OGC.TO,Gold,Materials
OGE,Utilities—Regulated Electric,Utilities
OHI,REIT—Healthcare Facilities,Real Estate
OI,Packaging & Containers,Consumer Discretionary
OKE,Oil & Gas Midstream,Energy
OLED,Electronic Components,Information Technology
OLN,Specialty Chemicals,Materials
OLP,REIT—Diversified,Real Estate
OLYMY,Medical Instruments & Supplies,Health Care
OMAB,Airports & Air Services,Industrials
OMC,Advertising Agencies,Communication Services
OMCL,Health Information Services,Health Care
OMI,Medical Distribution,Health Care
OMRNY,Electronic Components,Information Technology
OMVKY,Oil & Gas Integrated,Energy
ON,Semiconductors,Information Technology
ONEX.TO,Asset Management,Financials
ORA,Utilities—Renewable,Utilities
ORAN,Telecom Services,Communication Services
ORCL,Software—Infrastructure,Information Technology
ORKLY,Packaged Foods,Consumer Staples
ORLY,Specialty Retail,Consumer Discretionary
OSIS,Electronic Components,Information Technology
OSK,Farm & Heavy Construction Machinery,Industrials
OSPN,Software—Infrastructure,Information Technology
OTEX,Software—Application,Information Technology
OTEX.TO,Software—Application,Information Technology
OTTR,Utilities—Diversified,Utilities
OVV,Oil & Gas E&P,Energy
OVV.TO,Oil & Gas E&P,Energy
OXM,Apparel Manufacturing,Consumer Discretionary
OXY,Oil & Gas E&P,Energy
PAA,Oil & Gas Midstream,Energy
PAAS,Gold,Materials
PAAS.TO,Gold,Materials
PAC,Airports & Air Services,Industrials
PAG,Auto & Truck Dealerships,Consumer Discretionary
PAM,Utilities—Independent Power Producers,Utilities
PARA,Entertainment,Communication Services
PATK,"Furnishings, Fixtures & Appliances",Consumer Discretionary
PAYX,Staffing & Employment Services,Industrials
PBA,Oil & Gas Midstream,Energy
PBH,Drug Manufacturers—Specialty & Generic,Health Care
PBH.TO,Packaged Foods,Consumer Staples
PBI,Integrated Freight & Logistics,Industrials
PBR,Oil & Gas Integrated,Energy
PCAR,Farm & Heavy Construction Machinery,Industrials
PCG,Utilities—Regulated Electric,Utilities
PCH,REIT—Specialty,Real Estate
PCRFF,Consumer Electronics,Information Technology
PCRFY,Consumer Electronics,Information Technology
PCTI,Communication Equipment,Information Technology
PDCE,Oil & Gas E&P,Energy
PDCO,Medical Distribution,Health Care
PEAK,REIT—Healthcare Facilities,Real Estate
PEG,Utilities—Regulated Electric,Utilities
PENN,Resorts & Casinos,Consumer Discretionary
PEP,Beverages—Non-Alcoholic,Consumer Staples
PERI,Internet Content & Information,Communication Services
PETS,Pharmaceutical Retailers,Health Care
PEY.TO,Oil & Gas E&P,Energy
PEYUF,Oil & Gas E&P,Energy
PFE,Drug Manufacturers—General,Health Care
PG,Household & Personal Products,Consumer Staples
PGPEF,Advertising Agencies,Communication Services
PGTI,Building Products & Equipment,Industrials
PH,Specialty Industrial Machinery,Industrials
PHG,Medical Devices,Health Care
PHI,Telecom Services,Communication Services
PHM,Residential Construction,Consumer Discretionary
PHX,Oil & Gas E&P,Energy
PII,Recreational Vehicles,Consumer Discretionary
PKE,Aerospace & Defense,Industrials
PKG,Packaging & Containers,Consumer Discretionary
PKI,Diagnostics & Research,Health Care
PKI.TO,Specialty Retail,Consumer Discretionary
PKIUF,Specialty Retail,Consumer Discretionary
PKOH,Specialty Industrial Machinery,Industrials
PKX,Steel,Materials
PLAB,Semiconductor Equipment & Materials,Information Technology
PLCE,Apparel Retail,Consumer Discretionary
PLD,REIT—Industrial,Real Estate
PLPC,Electrical Equipment & Parts,Industrials
PLUS,Software—Application,Information Technology
PLXS,Electronic Components,Information Technology
PM,Tobacco,Consumer Staples
PNM,Utilities—Regulated Electric,Utilities
PNR,Specialty Industrial Machinery,Industrials
PNRG,Oil & Gas E&P,Energy
PNW,Utilities—Regulated Electric,Utilities
POOL,Industrial Distribution,Industrials
POR,Utilities—Regulated Electric,Utilities
POST,Packaged Foods,Consumer Staples
POWI,Semiconductors,Information Technology
POWL,Electrical Equipment & Parts,Industrials
PPC,Packaged Foods,Consumer Staples
PPG,Specialty Chemicals,Materials
PPL,Utilities—Regulated Electric,Utilities
PPL.TO,Oil & Gas Midstream,Energy
PPRUY,Luxury Goods,Consumer Discretionary
PRAA,Credit Services,Financials
PRFT,Information Technology Services,Information Technology
PRG,Rental & Leasing Services,Industrials
PRGO,Drug Manufacturers—Specialty & Generic,Health Care
PRGS,Software—Application,Information Technology
PRIM,Engineering & Construction,Industrials
PRMW,Beverages—Non-Alcoholic,Consumer Staples
PRMW.TO,Beverages—Non-Alcoholic,Consumer Staples
PSA,REIT—Industrial,Real Estate
PSI.TO,Oil & Gas Equipment & Services,Energy
PSMT,Discount Stores,Consumer Staples
PSO,Publishing,Communication Services
PTC,Software—Application,Information Technology
PTNRY,Telecom Services,Communication Services
PTSI,Trucking,Industrials
PUBGY,Advertising Agencies,Communication Services
PVH,Apparel Manufacturing,Consumer Discretionary
PW,REIT—Specialty,Real Estate
PWR,Engineering & Construction,Industrials
PXD,Oil & Gas E&P,Energy
PZZA,Restaurants,Consumer Discretionary
QCOM,Semiconductors,Information Technology
QDEL,Medical Devices,Health Care
QGEN,Diagnostics & Research,Health Care
QRTEA,Internet Retail,Consumer Discretionary
QUAD,Specialty Business Services,Industrials
R,Rental & Leasing Services,Industrials
RAD,Pharmaceutical Retailers,Health Care
RANJY,Staffing & Employment Services,Industrials
RBA,Specialty Business Services,Industrials
RBA.TO,Specialty Business Services,Industrials
RBC,Tools & Accessories,Industrials
RCG.TO,Asset Management,Financials
RCH.TO,"Furnishings, Fixtures & Appliances",Consumer Discretionary
RCKY,Footwear & Accessories,Consumer Discretionary
RCMT,Conglomerates,Industrials
RDEIY,Utilities—Regulated Electric,Utilities
RDNT,Diagnostics & Research,Health Care
RDWR,Software—Infrastructure,Information Technology
RDY,Drug Manufacturers—Specialty & Generic,Health Care
REG,REIT—Retail,Real Estate
REGN,Biotechnology,Health Care
RELX,Specialty Business Services,Industrials
RES,Oil & Gas Equipment & Services,Energy
REVRQ,Household & Personal Products,Consumer Staples
REX,Specialty Chemicals,Materials
RFIL,Electrical Equipment & Parts,Industrials
RGCO,Utilities—Regulated Gas,Utilities
RGEN,Medical Instruments & Supplies,Health Care
RGLD,Gold,Materials
RGP,Consulting Services,Industrials
RGR,Aerospace & Defense,Industrials
RHHBY,Drug Manufacturers—General,Health Care
RHI,Staffing & Employment Services,Industrials
RHP,REIT—Hotel & Motel,Real Estate
RICK,Restaurants,Consumer Discretionary
RIG,Oil & Gas Drilling,Energy
RIO,Other Industrial Metals & Mining,Materials
RIOCF,REIT—Retail,Real Estate
RL,Apparel Manufacturing,Consumer Discretionary
RLGT,Integrated Freight & Logistics,Industrials
RMD,Medical Instruments & Supplies,Health Care
ROCK,Building Products & Equipment,Industrials
ROG,Electronic Components,Information Technology
ROHCY,Semiconductors,Information Technology
ROK,Specialty Industrial Machinery,Industrials
ROL,Personal Services,Consumer Discretionary
ROP,Software—Application,Information Technology
ROST,Apparel Retail,Consumer Discretionary
RPM,Specialty Chemicals,Materials
RPT,REIT—Retail,Real Estate
RRC,Oil & Gas E&P,Energy
RRX,Specialty Industrial Machinery,Industrials
RS,Steel,Materials
RSG,Waste Management,Industrials
RSI.TO,Confectioners,Consumer Staples
RTO,Specialty Business Services,Industrials
RUS.TO,Industrial Distribution,Industrials
RUSHA,Auto & Truck Dealerships,Consumer Discretionary
RUSHB,Auto & Truck Dealerships,Consumer Discretionary
RUTH,Restaurants,Consumer Discretionary
RX.V,Drug Manufacturers—Specialty & Generic,Health Care
RYAAY,Airlines,Industrials
RYDAF,Oil & Gas Integrated,Energy
RYN,REIT—Specialty,Real Estate
SAFRY,Aerospace & Defense,Industrials
SAH,Auto & Truck Dealerships,Consumer Discretionary
SAIA,Trucking,Industrials
SALM,Broadcasting,Communication Services
SAM,Beverages—Brewers,Consumer Staples
SANM,Electronic Components,Information Technology
SAP,Software—Application,Information Technology
SAP.TO,Packaged Foods,Consumer Staples
SAPGF,Software—Application,Information Technology
SATS,Communication Equipment,Information Technology
SB,Marine Shipping,Industrials
SBAC,REIT—Specialty,Real Estate
SBGI,Entertainment,Communication Services
SBGSY,Specialty Industrial Machinery,Industrials
SBH,Specialty Retail,Consumer Discretionary
SBR,Oil & Gas E&P,Energy
SBS,Utilities—Regulated Water,Utilities
SBUX,Restaurants,Consumer Discretionary
SCCO,Copper,Materials
SCHL,Publishing,Communication Services
SCHN,Steel,Materials
SCI,Personal Services,Consumer Discretionary
SCL,Specialty Chemicals,Materials
SCL.TO,Oil & Gas Equipment & Services,Energy
SCMWY,Telecom Services,Communication Services
SCS,Business Equipment & Supplies,Industrials
SCSC,Electronics & Computer Distribution,Information Technology
SCU,Asset Management,Financials
SCVL,Apparel Retail,Consumer Discretionary
SCX,Tools & Accessories,Industrials
SDVKY,Specialty Industrial Machinery,Industrials
SEB,Conglomerates,Industrials
SEE,Packaging & Containers,Consumer Discretionary
SEIC,Asset Management,Financials
SEKEY,Computer Hardware,Information Technology
